"stationid","fieldduplicate","Clay","Colloid","Sand","Silt","Gravel","TN","TOC"
"B23-12000",1,9.391,1.445,37.1005,52.05,0,0.2,5.3
"B23-12001",1,11.599,1.7,29.68,57.02,0,0.05,6.1
"B23-12002",1,7.169,1.2,52.969,38.54,0,0.05,0.05
"B23-12003",1,10.5999999,0,45.7000004,43.30000043,0,2.8,0.05
"B23-12004",1,9.7,0,33.9,56.4,0,7.8,17
"B23-12005",1,2.094,0,76.39,21.75,0,0.05,0.05
"B23-12006",1,12,0.5,38.5,49,0,2.2,6.6
"B23-12007",1,4.7,0,71.3,24,0,0.5,0.05
"B23-12008",1,4.9,0,63.5,31.6,0,0.3,2
"B23-12009",1,12,0,44.2,43.8,0,1.05,0.525
"B23-12010",1,8.2,0,60.7,31.1,0,0.05,0.05
"B23-12011",1,8.9,0,55.6,35.5,0,0.05,0.05
"B23-12012",1,1.7,0,90.4,7.9,0,0.05,0.05
"B23-12013",1,7.1,0,66.4,26.5,0,0.05,0.9
"B23-12014",1,1.7,0,88.9,9.5,0,0.05,0.05
"B23-12015",1,12.8,0,30.4,56.8,0,0.2,13.7
"B23-12016",1,12.8,0.1,31.1,56,0,0.05,6
"B23-12017",1,12.8,0,30.2,57,0,0.05,6
"B23-12018",1,11.5,0,34.9,53.6,0,0.05,5.7
"B23-12019",1,8.2,0,52,39.8,0,0.05,0.05
"B23-12020",1,7.5,0,58.5,34,0,0.05,2.4
"B23-12021",1,2.1,0,83.7,14.2,0,0.05,0.05
"B23-12022",1,0.8,0,93.4,5.45,0,0.05,0.05
"B23-12023",1,3.5,0,58.9,37.5,0,0.05,3.6
"B23-12024",1,12.3,0,21.5,65.9,0,0.05,14.5
"B23-12025",1,6.2,0,35.9,58.2,0,0.05,23.4
"B23-12026",1,6.1,0,48,45.7,0,0.05,23.5
"B23-12027",1,14.2,1.4,13.7,70.7,0,0.05,14
"B23-12028",1,12.6,1.6,19.3,66.5,0,0.05,11.7
"B23-12029",1,15.9,1.8,7.9,74.4,0,0.05,8.2
"B23-12030",1,9.13,2.84,32.75,55,0,0.7035,9.4
"B23-12031",1,10.2,1.2,27.7,60.9,0,0.05,2.9
"B23-12032",1,11.19,3.08,17.24,68.27,0,1.115,13.9
"B23-12033",1,11.1,1.7,35.2,52,0,0.05,3.65
"B23-12034",1,2.59,1.03,72.68,23.41,0,0.2405,2.305
"B23-12035",1,8.79,2.72,31.4,56.82,0,0.754,7.78
"B23-12036",1,9.13,2.81,20.55,67.23,0,1.135,12.8
"B23-12037",1,9.98,2.99,19.26,67.45,0,1.035,12.4
"B23-12038",1,7.09,2.39,33.58,56.66,0,0.487,5.21
"B23-12039",1,11.22,3.25,15.4,69.87,0,0.8685,11.5
"B23-12040",1,7.94,2.48,37.97,51.32,0,0.5905,8.06
"B23-12041",1,10.98,3.35,15.8,69.47,0,0.9075,13.5
"B23-12042",1,5.61,2.05,38.18,53.81,0,0.66,7.98
"B23-12043",1,7.82,2.38,38.17,51.42,0,0.9385,17.3
"B23-12044",1,4.9,0.9,63.8,30.4,0,0.05,0.05
"B23-12045",1,13.95,0.3,22.3,63.6,0,5.75,8.65
"B23-12046",1,9.4,0,60.6,30,0,3.6,0.05
"B23-12047",1,9.6,0.1,39.1,51.5,0,0.05,7.8
"B23-12048",1,10,0,37.8,52.2,0,0.05,4.5
"B23-12049",1,11.1,0.2,34.5,54.2,0,0.05,4.3
"B23-12050",1,15.5,0.1,15.8,68.6,0,0.05,4.8
"B23-12051",1,13.55,0.15,13,73.3,0,0.05,8.85
"B23-12052",1,3.3,0,78.2,18.5,0,0.05,0.05
"B23-12053",1,10.3,0,30.35,59.35,0,0.05,6.1
"B23-12054",1,7.3,0,41.8,50.9,0,0.05,2.4
"B23-12055",1,4.6,0,55.5,39.7,0,0.05,6.6
"B23-12056",1,7.4,0,24.3,67.9,0,0.1,19.8
"B23-12057",1,8.2,0,22,69.7,0,1.1,21
"B23-12058",1,5.2,0,30.5,64.4,0,0.05,12.6
"B23-12059",1,3.281,0.199,70.83,25.69,0,0.05,0.05
"B23-12060",1,6,0.699,30.361,62.94,0,0.05,7.1
"B23-12061",1,6.3605,0.3,22.9595,70.53,0,0.05,6.7
"B23-12062",1,7.296,0.696,21.278,70.73,0,0.05,2.3
"B23-12063",1,8.199,1.1,41.761,48.94,0,0.05,3.5
"B23-12064",1,4.492,0.249,45.729,49.53,0,0.05,0.05
"B23-12065",1,10.4,1.3,23.3,65,0,0.05,0.05
"B23-12066",1,7.1,1,46.3,45.6,0,0.05,0.3
"B23-12067",1,0.39,0,96.05,1.31,2.25,0.13,2.4
"B23-12068",1,5.75,0,58.96,35.28,0,1,5.7
"B23-12069",1,2.47,0,86.25,11.15,0.12,0.74,0
"B23-12070",1,2.32,0,87.11,10.57,0,0.4775,3.6
"B23-12071",1,8.15,0,36.94,54.9,0,1.1,6.4
"B23-12072",1,8.89,0,30.76,60.35,0,1,7.3
"B23-12073",1,21.2,2,5.9,70.9,0,0.05,9.3
"B23-12074",1,14.38,0,0.01,85.61,0,1.2,6.1
"B23-12075",1,13.05,1.85,12.4,72.7,0,0.225,18.15
"B23-12076",1,8.6,1.1,29.8,60.5,0,0.05,10
