stratum,stationid,latitude,longitude,depth,wts,stationtype,sampledate,replicate,index,score,condition,cond_class
Freshwater Estuary,B23-12148,32.599802,-117.11554,1.5,NA,New Site,8/3/2023,1,sqo_bloe,3,Moderate Disturbance,3
Freshwater Estuary,B23-12148,32.599802,-117.11554,1.5,NA,New Site,8/3/2023,1,RBI,0.157293745,Moderate Disturbance,3
Freshwater Estuary,B23-12148,32.599802,-117.11554,1.5,NA,New Site,8/3/2023,1,IBI,0,Reference,1
Freshwater Estuary,B23-12148,32.599802,-117.11554,1.5,NA,New Site,8/3/2023,1,Rivpacs,0.4878,Moderate Disturbance,3
Freshwater Estuary,B23-12148,32.599802,-117.11554,1.5,NA,New Site,8/3/2023,1,M-AMBI,0.743,Reference,1
Freshwater Estuary,B23-12150,32.617789,-117.099046,1.5,NA,Revisit,8/4/2023,1,M-AMBI,0.423,Moderate Disturbance,3
Freshwater Estuary,B23-12360,32.59472,-117.09515,1,NA,New Site,9/28/2023,1,sqo_bloe,4,High Disturbance,4
Freshwater Estuary,B23-12360,32.59472,-117.09515,1,NA,New Site,9/28/2023,1,RBI,0.013320529,High Disturbance,4
Freshwater Estuary,B23-12360,32.59472,-117.09515,1,NA,New Site,9/28/2023,1,IBI,2,Moderate Disturbance,3
Freshwater Estuary,B23-12360,32.59472,-117.09515,1,NA,New Site,9/28/2023,1,Rivpacs,0.0442,High Disturbance,4
Freshwater Estuary,B23-12360,32.59472,-117.09515,1,NA,New Site,9/28/2023,1,M-AMBI,0.386,High Disturbance,4
Freshwater Estuary,B23-12363,32.65817,-117.08299,1.2,NA,Revisit,9/22/2023,1,M-AMBI,0.38,High Disturbance,4
Freshwater Estuary,B23-12364,32.75987,-117.22216,0.55,NA,New Site,8/29/2023,1,sqo_bloe,3,Moderate Disturbance,3
Freshwater Estuary,B23-12364,32.75987,-117.22216,0.55,NA,New Site,8/29/2023,1,RBI,0.202748297,Low Disturbance,2
Freshwater Estuary,B23-12364,32.75987,-117.22216,0.55,NA,New Site,8/29/2023,1,IBI,1,Low Disturbance,2
Freshwater Estuary,B23-12364,32.75987,-117.22216,0.55,NA,New Site,8/29/2023,1,Rivpacs,0.1451,High Disturbance,4
Freshwater Estuary,B23-12364,32.75987,-117.22216,0.55,NA,New Site,8/29/2023,1,M-AMBI,0.298,High Disturbance,4
Freshwater Estuary,B23-12366,32.97645,-117.24013,0.5,NA,New Site,9/26/2023,1,M-AMBI,0.48,Moderate Disturbance,3
Freshwater Estuary,B23-12368,33.20347,-117.39084,0.31,NA,Revisit,9/6/2023,1,M-AMBI,0.49,Low Disturbance,2
Freshwater Estuary,B23-12369,33.23767,-117.3939,0.56,NA,New Site,9/19/2023,1,M-AMBI,0.353,High Disturbance,4
Estuaries,B23-12146,32.55692,-117.12801,1.2,0.33208544,Revisit,9/28/2023,1,sqo_bloe,4,High Disturbance,4
Estuaries,B23-12146,32.55692,-117.12801,1.2,0.33208544,Revisit,9/28/2023,1,RBI,0.019602052,High Disturbance,4
Estuaries,B23-12146,32.55692,-117.12801,1.2,0.33208544,Revisit,9/28/2023,1,IBI,2,Moderate Disturbance,3
Estuaries,B23-12146,32.55692,-117.12801,1.2,0.33208544,Revisit,9/28/2023,1,Rivpacs,0.0427,High Disturbance,4
Estuaries,B23-12146,32.55692,-117.12801,1.2,0.33208544,Revisit,9/28/2023,1,M-AMBI,0.524,Low Disturbance,2
Estuaries,B23-12151,32.64769799,-117.1154292,8.8,0.33208544,New Site,9/8/2023,1,sqo_bloe,2,Low Disturbance,2
Estuaries,B23-12151,32.64769799,-117.1154292,8.8,0.33208544,New Site,9/8/2023,1,RBI,0.337532038,Reference,1
Estuaries,B23-12151,32.64769799,-117.1154292,8.8,0.33208544,New Site,9/8/2023,1,IBI,0,Reference,1
Estuaries,B23-12151,32.64769799,-117.1154292,8.8,0.33208544,New Site,9/8/2023,1,Rivpacs,0.7182,Moderate Disturbance,3
Estuaries,B23-12151,32.64769799,-117.1154292,8.8,0.33208544,New Site,9/8/2023,1,M-AMBI,0.701,Reference,1
Estuaries,B23-12152,32.64822835,-117.1129061,4.6,0.33208544,New Site,9/8/2023,1,sqo_bloe,3,Moderate Disturbance,3
Estuaries,B23-12152,32.64822835,-117.1129061,4.6,0.33208544,New Site,9/8/2023,1,RBI,0.139919273,Moderate Disturbance,3
Estuaries,B23-12152,32.64822835,-117.1129061,4.6,0.33208544,New Site,9/8/2023,1,IBI,0,Reference,1
Estuaries,B23-12152,32.64822835,-117.1129061,4.6,0.33208544,New Site,9/8/2023,1,Rivpacs,0.6225,Moderate Disturbance,3
Estuaries,B23-12152,32.64822835,-117.1129061,4.6,0.33208544,New Site,9/8/2023,1,M-AMBI,0.694,Reference,1
Estuaries,B23-12154,32.65266,-117.09795,2,0.33208544,New Site,9/22/2023,1,sqo_bloe,3,Moderate Disturbance,3
Estuaries,B23-12154,32.65266,-117.09795,2,0.33208544,New Site,9/22/2023,1,RBI,0.132517166,Moderate Disturbance,3
Estuaries,B23-12154,32.65266,-117.09795,2,0.33208544,New Site,9/22/2023,1,IBI,0,Reference,1
Estuaries,B23-12154,32.65266,-117.09795,2,0.33208544,New Site,9/22/2023,1,Rivpacs,0.7154,Moderate Disturbance,3
Estuaries,B23-12154,32.65266,-117.09795,2,0.33208544,New Site,9/22/2023,1,M-AMBI,0.703,Reference,1
Estuaries,B23-12155,32.68786888,-117.1317431,7.2,0.33208544,New Site,9/5/2023,1,sqo_bloe,3,Moderate Disturbance,3
Estuaries,B23-12155,32.68786888,-117.1317431,7.2,0.33208544,New Site,9/5/2023,1,RBI,0.053390331,High Disturbance,4
Estuaries,B23-12155,32.68786888,-117.1317431,7.2,0.33208544,New Site,9/5/2023,1,IBI,1,Low Disturbance,2
Estuaries,B23-12155,32.68786888,-117.1317431,7.2,0.33208544,New Site,9/5/2023,1,Rivpacs,0.3313,Moderate Disturbance,3
Estuaries,B23-12155,32.68786888,-117.1317431,7.2,0.33208544,New Site,9/5/2023,1,M-AMBI,0.549,Low Disturbance,2
Estuaries,B23-12156,32.75697,-117.23527,1.27,0.33208544,Revisit,8/29/2023,1,sqo_bloe,3,Moderate Disturbance,3
Estuaries,B23-12156,32.75697,-117.23527,1.27,0.33208544,Revisit,8/29/2023,1,RBI,0.25711219,Low Disturbance,2
Estuaries,B23-12156,32.75697,-117.23527,1.27,0.33208544,Revisit,8/29/2023,1,IBI,0,Reference,1
Estuaries,B23-12156,32.75697,-117.23527,1.27,0.33208544,Revisit,8/29/2023,1,Rivpacs,0.241,High Disturbance,4
Estuaries,B23-12156,32.75697,-117.23527,1.27,0.33208544,Revisit,8/29/2023,1,M-AMBI,0.613,Reference,1
Estuaries,B23-12157,32.75755,-117.22719,0.9,0.33208544,Revisit,8/29/2023,1,sqo_bloe,3,Moderate Disturbance,3
Estuaries,B23-12157,32.75755,-117.22719,0.9,0.33208544,Revisit,8/29/2023,1,RBI,0.277827747,Reference,1
Estuaries,B23-12157,32.75755,-117.22719,0.9,0.33208544,Revisit,8/29/2023,1,IBI,0,Reference,1
Estuaries,B23-12157,32.75755,-117.22719,0.9,0.33208544,Revisit,8/29/2023,1,Rivpacs,0.2968,High Disturbance,4
Estuaries,B23-12157,32.75755,-117.22719,0.9,0.33208544,Revisit,8/29/2023,1,M-AMBI,0.331,High Disturbance,4
Estuaries,B23-12158,32.9341,-117.25651,4.2,0.33208544,New Site,9/26/2023,1,sqo_bloe,2,Low Disturbance,2
Estuaries,B23-12158,32.9341,-117.25651,4.2,0.33208544,New Site,9/26/2023,1,RBI,0.309319599,Reference,1
Estuaries,B23-12158,32.9341,-117.25651,4.2,0.33208544,New Site,9/26/2023,1,IBI,1,Low Disturbance,2
Estuaries,B23-12158,32.9341,-117.25651,4.2,0.33208544,New Site,9/26/2023,1,Rivpacs,0.26,High Disturbance,4
Estuaries,B23-12158,32.9341,-117.25651,4.2,0.33208544,New Site,9/26/2023,1,M-AMBI,0.74,Reference,1
