"","stationid","lab","sampleid","matrix","labbatch","n_total","n_particles_sub","n_plastic_con","n_spec_correct","mass_g_dry","stratumtype","n_g_sed_dw","total_mda","mda_flag"
"1","B23-12074","Oregon State University","B23_12074_S","Sediment","1",323,97,76,253.072164948454,30,"Embayment",8.43573883161512,3,NA
"2","B23-12198","Oregon State University","B23_12198_S","Sediment","4",446,75,26,154.613333333333,70,"Offshore",2.2087619047619,12,NA
"3","B23-12204","Oregon State University","B23_12204_S","Sediment","4",67,58,29,33.5,60,"Offshore",0.558333333333333,12,NA
"4","B23-12089","University of California, Riverside","B23_12089_S","Sediment","10",56,44,29,36.9090909090909,61.40033004,"Embayment",0.601122027927961,22,NA
"5","B23-12590","Oregon State University","B23_12590_S","Sediment","3",27,27,1,1,30,"Offshore",0.0333333333333333,24,NA
"6","B23-12140","Oregon State University","B23_12140_S","Sediment","11",42,41,8,8.19512195121951,65,"Embayment",0.126078799249531,24,NA
"7","B23-12196","Oregon State University","B23_12196_S","Sediment","10",29,26,3,3.34615384615385,74,"Offshore",0.0452182952182952,18,NA
"8","B23-12209","Oregon State University","B23_12209_S","Sediment","1",133,78,32,54.5641025641026,80,"Offshore",0.682051282051282,3,NA
"9","B23-12011","Oregon State University","B23_12011_S","Sediment","3",125,75,41,68.3333333333333,50,"Embayment",1.36666666666667,24,NA
"10","B23-12201","Oregon State University","B23_12201_S","Sediment","11",105,85,63,77.8235294117647,75,"Offshore",1.03764705882353,24,NA
"11","B23-12040","University of California, Riverside","B23_12040_S_2","Sediment","7",111,81,38,52.0740740740741,58.09575091,"Embayment",0.896349100552044,12,NA
"12","B23-12033","Oregon State University","B23_12033_S","Sediment","16",154,77,37,74,75,"Embayment",0.986666666666667,18,NA
"13","B23-12191","Oregon State University","B23_12191_S","Sediment","16",64,59,11,11.9322033898305,75,"Offshore",0.15909604519774,18,NA
"14","B23-12188","Oregon State University","B23_12188_S","Sediment","2",44,44,8,8,40,"Offshore",0.2,54,"Total particle count < MDA"
"15","B23-12120","University of California, Riverside","B23_12120_S","Sediment","3",111,75,42,62.16,47.40507204,"Embayment",1.31125209444993,34,NA
"16","B23-12078","University of California, Riverside","B23_12078_S","Sediment","7",153,113,85,115.088495575221,48.98088651,"Embayment",2.34966134293475,12,NA
