mpdata_taxon,best_match_infauna_unified,mpdata_taxon_updated,jw_distance
B ipalponephtys cornuta,Bipalponephtys cornuta,Bipalponephtys cornuta,0.014492754
Rhynchospio arenicola,Rhynchospio arenincola,Rhynchospio arenincola,0.015151515
Leitoscoloplos sp LA3,Leitoscoloplos sp A,,0.031746032
Eunicida,Eunicidae,,0.037037037
Ischyrocerus sp B,Ischyrocerus sp,Ischyrocerus sp,0.039215686
Mediomastus sp A,Mediomastus sp,Mediomastus sp,0.041666667
Fabriciidae,Fabriciinae,Fabriciinae,0.060606061
Maldaninae,Maldanidae,Maldanidae,0.066666667
Rhepoxinius sp,Rhepoxynius sp,Rhepoxinius sp,0.073260073
Mysidopsis onofrensis,Mysidopsis cf onofrensis,Mysidopsis cf onofrensis,0.073412698
Euclymeninae ,Euclymeninae sp A,,0.078431373
Lirularia sp,Virgularia sp,,0.079059829
Scoloplos sp LA1,Scoloplos sp,Scoloplos sp,0.083333333
Aoroidea,Aoridae,Aoridae,0.089285714
Euclymeninae,Euclymeninae sp A,,0.098039216
Callipallene sp,Callipallenidae sp AB1,,0.106060606
Dipolydora cardalia,Dipolydora armata,,0.109391125
Pseudopotamilla socialis,Pseudopotamilla sp,Pseudopotamilla sp,0.115740741
Eulithidium comptum,Eulithidium sp,Eulithidium sp,0.129072682
Styela clava,Styela plicata,,0.12950938
Sinocorophium sp,Sinocorophium alienense,,0.136775362
Lumbriclymeninae,Lumbriclymene lineus,,0.1375
Joeropsis lobata,Joeropsis concava,,0.140931373
Amaeana sp,Amage sp,,0.141666667
Orbinia sp,Ocinebrina sp,,0.143589744
Euclumeninae,Euclymeninae sp A,,0.145424837
Ascidiella aspersa,Ascidia sp,,0.148148148
Syllis elongata,Syllis alternata,,0.158226496
Boccardia pugettensis,Boccardia sp,Boccardia sp,0.170634921
Tubulaniformes,Tubulanidae,,0.17965368
Eteone fauchaldi,Eteone dilatae,,0.186507937
Hoploplana sp A,Stylochoplana sp A,,0.188319088
Lirularia acuticostata,Lirularia parcipicta,,0.188825758
Cymothoidae,Corymorphidae,,0.190559441
Branchiomma bairdi,Branchiomma sp 1,,0.194444444
Lomanotidae,Xanthidae,,0.195286195
Processidae,Latocestidae,,0.202020202
Sinocorophium lamellatum,Sinocorophium alienense,,0.203786587
Sessilia,Silicea,,0.220238095
Pentidotea resecata,Penaeoidea,,0.224561404
Abarenicola pacifica,Microjassa boreopacifica,,0.225653595
Loxosomatidae,Lasaeidae,,0.227920228
Tonicella venusta,Tellina modesta,,0.234150327
Fissurella volcano,Schisturella cocula,,0.236317289
Exogone cf verugera,Exogone lourei,,0.242082479
Nematoda,Nemertea,,0.25
NEMATODA,NEMERTEA,,0.25
Discurria insessa,Furcillidens incrassatus,,0.255718954
Dendrochiton thamnoporus,Leptochiton nexus,,0.256850176
Tunicata,Eunicidae,,0.273148148
Nymphopsis spinosissima,Limopsis panamensis,,0.286117468
