"mpdata_taxon","best_match_infauna_unified","jw_distance"
"B ipalponephtys cornuta","Bipalponephtys cornuta",0.0144927536231885
"Rhynchospio arenicola","Rhynchospio arenincola",0.0151515151515151
"Leitoscoloplos sp LA3","Leitoscoloplos sp A",0.0317460317460319
"Eunicida","Eunicidae",0.0370370370370371
"Ischyrocerus sp B","Ischyrocerus sp",0.0392156862745099
"Mediomastus sp A","Mediomastus sp",0.0416666666666667
"Fabriciidae","Fabriciinae",0.0606060606060606
"Maldaninae","Maldanidae",0.0666666666666668
"Rhepoxinius sp","Rhepoxynius sp",0.0732600732600733
"Mysidopsis onofrensis","Mysidopsis cf onofrensis",0.0734126984126985
"Euclymeninae ","Euclymeninae sp A",0.0784313725490197
"Lirularia sp","Virgularia sp",0.0790598290598291
"Scoloplos sp LA1","Scoloplos sp",0.0833333333333334
"Aoroidea","Aoridae",0.0892857142857143
"Euclymeninae","Euclymeninae sp A",0.0980392156862745
"Callipallene sp","Callipallenidae sp AB1",0.106060606060606
"Dipolydora cardalia","Dipolydora armata",0.109391124871001
"Pseudopotamilla socialis","Pseudopotamilla sp",0.115740740740741
"Eulithidium comptum","Eulithidium sp",0.129072681704261
"Styela clava","Styela plicata",0.12950937950938
"Sinocorophium sp","Sinocorophium alienense",0.136775362318841
"Lumbriclymeninae","Lumbriclymene lineus",0.1375
"Joeropsis lobata","Joeropsis concava",0.14093137254902
"Amaeana sp","Amage sp",0.141666666666667
"Orbinia sp","Ocinebrina sp",0.143589743589744
"Euclumeninae","Euclymeninae sp A",0.145424836601307
"Ascidiella aspersa","Ascidia sp",0.148148148148148
"Syllis elongata","Syllis alternata",0.158226495726496
"Boccardia pugettensis","Boccardia sp",0.170634920634921
"Tubulaniformes","Tubulanidae",0.17965367965368
"Eteone fauchaldi","Eteone dilatae",0.186507936507937
"Hoploplana sp A","Stylochoplana sp A",0.188319088319088
"Lirularia acuticostata","Lirularia parcipicta",0.188825757575758
"Cymothoidae","Corymorphidae",0.190559440559441
"Branchiomma bairdi","Branchiomma sp 1",0.194444444444445
"Lomanotidae","Xanthidae",0.195286195286195
"Processidae","Latocestidae",0.202020202020202
"Sinocorophium lamellatum","Sinocorophium alienense",0.203786587098608
"Sessilia","Silicea",0.220238095238095
"Pentidotea resecata","Penaeoidea",0.224561403508772
"Abarenicola pacifica","Microjassa boreopacifica",0.225653594771242
"Loxosomatidae","Lasaeidae",0.227920227920228
"Tonicella venusta","Tellina modesta",0.234150326797386
"Fissurella volcano","Schisturella cocula",0.236317288948868
"Exogone cf verugera","Exogone lourei",0.242082478924584
"Nematoda","Nemertea",0.25
"NEMATODA","NEMERTEA",0.25
"Discurria insessa","Furcillidens incrassatus",0.255718954248366
"Dendrochiton thamnoporus","Leptochiton nexus",0.256850175967823
"Tunicata","Eunicidae",0.273148148148148
"Nymphopsis spinosissima","Limopsis panamensis",0.286117467581999
